MATCHUP                                  ,GAME_ID    ,SEASON  ,GAME_DATE  ,HOME_TEAM_NICKNAME ,HOME_TEAM_ID ,AWAY_TEAM_NICKNAME ,AWAY_TEAM_ID
12/23/2020 Spurs at Grizzlies            ,0022000017 ,2020-21 ,2020-12-23 ,Grizzlies          ,  1610612763 ,Spurs              ,  1610612759
05/14/2021 Jazz at Thunder               ,0022001056 ,2020-21 ,2021-05-14 ,Thunder            ,  1610612760 ,Jazz               ,  1610612762
04/23/2021 Wizards at Thunder            ,0022000902 ,2020-21 ,2021-04-23 ,Thunder            ,  1610612760 ,Wizards            ,  1610612764
04/19/2021 Thunder at Wizards            ,0022000872 ,2020-21 ,2021-04-19 ,Wizards            ,  1610612764 ,Thunder            ,  1610612760
04/18/2021 Thunder at Raptors            ,0022000865 ,2020-21 ,2021-04-18 ,Raptors            ,  1610612761 ,Thunder            ,  1610612760
04/16/2021 Thunder at Pistons            ,0022000845 ,2020-21 ,2021-04-16 ,Pistons            ,  1610612765 ,Thunder            ,  1610612760
04/13/2021 Thunder at Jazz               ,0022000826 ,2020-21 ,2021-04-13 ,Jazz               ,  1610612762 ,Thunder            ,  1610612760
04/07/2021 Hornets at Thunder            ,0022000781 ,2020-21 ,2021-04-07 ,Thunder            ,  1610612760 ,Hornets            ,  1610612766
04/05/2021 Pistons at Thunder            ,0022000766 ,2020-21 ,2021-04-05 ,Thunder            ,  1610612760 ,Pistons            ,  1610612765
03/31/2021 Raptors at Thunder            ,0022000727 ,2020-21 ,2021-03-31 ,Thunder            ,  1610612760 ,Raptors            ,  1610612761
03/24/2021 Grizzlies at Thunder          ,0022000674 ,2020-21 ,2021-03-24 ,Thunder            ,  1610612760 ,Grizzlies          ,  1610612763
03/14/2021 Grizzlies at Thunder          ,0022000593 ,2020-21 ,2021-03-14 ,Thunder            ,  1610612760 ,Grizzlies          ,  1610612763
02/17/2021 Thunder at Grizzlies          ,0022000562 ,2020-21 ,2021-02-17 ,Grizzlies          ,  1610612763 ,Thunder            ,  1610612760
12/28/2020 Jazz at Thunder               ,0022000043 ,2020-21 ,2020-12-28 ,Thunder            ,  1610612760 ,Jazz               ,  1610612762
12/26/2020 Thunder at Hornets            ,0022000022 ,2020-21 ,2020-12-26 ,Hornets            ,  1610612766 ,Thunder            ,  1610612760
05/08/2021 Grizzlies at Raptors          ,0022001014 ,2020-21 ,2021-05-08 ,Raptors            ,  1610612761 ,Grizzlies          ,  1610612763
05/06/2021 Wizards at Raptors            ,0022000997 ,2020-21 ,2021-05-06 ,Raptors            ,  1610612761 ,Wizards            ,  1610612764
05/01/2021 Raptors at Jazz               ,0022000965 ,2020-21 ,2021-05-01 ,Jazz               ,  1610612762 ,Raptors            ,  1610612761
04/05/2021 Wizards at Raptors            ,0022000763 ,2020-21 ,2021-04-05 ,Raptors            ,  1610612761 ,Wizards            ,  1610612764
03/29/2021 Raptors at Pistons            ,0022000711 ,2020-21 ,2021-03-29 ,Pistons            ,  1610612765 ,Raptors            ,  1610612761
03/19/2021 Jazz at Raptors               ,0022000634 ,2020-21 ,2021-03-19 ,Raptors            ,  1610612761 ,Jazz               ,  1610612762
