HOME_LAST_GAME_OE,HOME_LAST_GAME_HOME_WIN_PCTG,HOME_NUM_REST_DAYS,HOME_LAST_GAME_AWAY_WIN_PCTG,HOME_LAST_GAME_TOTAL_WIN_PCTG,HOME_LAST_GAME_ROLLING_SCORING_MARGIN,HOME_LAST_GAME_ROLLING_OE,HOME_W,HOME_TEAM_ID,GAME_ID,SEASON,AWAY_LAST_GAME_OE,AWAY_LAST_GAME_HOME_WIN_PCTG,AWAY_NUM_REST_DAYS,AWAY_LAST_GAME_AWAY_WIN_PCTG,AWAY_LAST_GAME_TOTAL_WIN_PCTG,AWAY_LAST_GAME_ROLLING_SCORING_MARGIN,AWAY_LAST_GAME_ROLLING_OE,AWAY_TEAM_ID
0.6171875,0.25,2.0,0.5,0.3333333333333333,0.6666666666666666,0.5905869898912078,1,1610612743,22000104,2020-21,0.6166666666666667,0.3333333333333333,2.0,0.3333333333333333,0.3333333333333333,-19.666666666666668,0.5505847953216375,1610612750
0.627906976744186,1.0,2.0,0.25,0.5714285714285714,9.666666666666666,0.5707861965491373,1,1610612749,22000113,2020-21,0.546875,0.25,2.0,0.0,0.1428571428571428,-3.0,0.5396166029389713,1610612765
0.6301369863013698,0.6666666666666666,2.0,0.5,0.5714285714285714,7.0,0.5702564657895212,0,1610612744,22000116,2020-21,0.5950413223140496,0.5,1.0,0.75,0.625,-1.3333333333333333,0.564000402395143,1610612746
0.5948275862068966,0.5,2.0,0.6,0.5714285714285714,-2.6666666666666665,0.5440270935960592,1,1610612752,22000112,2020-21,0.4587155963302752,0.3333333333333333,1.0,0.75,0.5714285714285714,-2.333333333333333,0.5493708406109458,1610612762
0.6299212598425197,0.75,2.0,0.0,0.5,9.666666666666666,0.5418936772137157,0,1610612748,22000111,2020-21,0.5405405405405406,0.6666666666666666,2.0,0.6,0.625,3.6666666666666665,0.5670213482713483,1610612738
0.5426356589147286,0.6666666666666666,2.0,0.5,0.5714285714285714,11.666666666666666,0.5667902759039481,0,1610612740,22000114,2020-21,0.4414414414414414,0.0,2.0,0.6666666666666666,0.3333333333333333,-17.333333333333332,0.4777581574314786,1610612760
0.5309734513274337,0.5,2.0,1.0,0.7142857142857143,-4.333333333333333,0.4939282202556539,1,1610612753,22000108,2020-21,0.4732142857142857,0.6666666666666666,2.0,0.5,0.5714285714285714,-11.666666666666666,0.5076425451425451,1610612739
0.5746268656716418,0.6,2.0,1.0,0.7142857142857143,6.0,0.555683702698628,1,1610612754,22000107,2020-21,0.4747474747474747,0.6666666666666666,2.0,0.0,0.4,-0.6666666666666666,0.5189329189329189,1610612745
0.5714285714285714,0.6666666666666666,3.0,0.75,0.7142857142857143,3.0,0.5631316440949469,1,1610612756,22000115,2020-21,0.5,0.3333333333333333,2.0,0.0,0.1666666666666666,0.3333333333333333,0.5045037926675094,1610612761
0.4736842105263157,0.6666666666666666,2.0,0.25,0.4285714285714285,-14.0,0.497110423116615,1,1610612758,22000117,2020-21,0.5491803278688525,0.25,1.0,0.75,0.5,-5.666666666666667,0.5115716396879404,1610612741
0.5614035087719298,0.3333333333333333,2.0,0.75,0.5714285714285714,2.6666666666666665,0.5430667063138072,0,1610612737,22000110,2020-21,0.528,0.3333333333333333,2.0,0.25,0.2857142857142857,-15.666666666666666,0.5333901950063787,1610612766
0.64,1.0,2.0,0.6666666666666666,0.8571428571428571,18.666666666666668,0.6082797475325116,1,1610612755,22000109,2020-21,0.56,0.0,3.0,0.6666666666666666,0.2857142857142857,6.333333333333333,0.5970637408568443,1610612764
0.6434108527131783,0.5,2.0,0.5,0.5,5.0,0.5601794770057423,1,1610612751,22000118,2020-21,0.6335877862595419,1.0,1.0,0.6666666666666666,0.875,12.333333333333334,0.6364155669960747,1610612755
0.5254237288135594,0.3333333333333333,2.0,0.5,0.4285714285714285,2.333333333333333,0.5212950890916993,1,1610612757,22000122,2020-21,0.5546218487394958,0.3333333333333333,2.0,0.25,0.2857142857142857,-14.333333333333334,0.5629441250184285,1610612750
0.5210084033613446,0.5,2.0,1.0,0.75,7.333333333333333,0.5501979963156435,0,1610612747,22000121,2020-21,0.5630252100840336,0.25,2.0,0.6666666666666666,0.4285714285714285,-8.0,0.5462893707179354,1610612759
0.5887850467289719,0.4,2.0,0.5,0.4285714285714285,6.333333333333333,0.5912563856328211,0,1610612743,22000120,2020-21,0.5526315789473685,0.5,3.0,0.4,0.4285714285714285,4.333333333333333,0.5152766446327778,1610612742
0.5042016806722689,0.0,2.0,0.6666666666666666,0.2857142857142857,-0.3333333333333333,0.5406341567095945,0,1610612763,22000119,2020-21,0.5660377358490566,0.6666666666666666,1.0,0.4,0.5,-8.666666666666666,0.5191446132483869,1610612739
0.5765765765765766,0.4,1.0,1.0,0.6666666666666666,2.333333333333333,0.5610568551745022,1,1610612747,22000131,2020-21,0.6031746031746031,0.25,2.0,0.6,0.4444444444444444,3.0,0.5570742851905858,1610612741
0.5225225225225225,0.25,2.0,0.0,0.125,-9.0,0.5558960402710403,1,1610612765,22000123,2020-21,0.5982905982905983,0.75,2.0,0.75,0.75,2.0,0.5764507324140351,1610612756
0.5384615384615384,0.0,1.0,0.6666666666666666,0.25,-6.666666666666667,0.5241925830161124,1,1610612763,22000128,2020-21,0.5736434108527132,0.5714285714285714,1.0,0.5,0.5555555555555556,15.333333333333334,0.5877575836536164,1610612751
